model_name,stream,head,capacity,seed,prediction_type,best_validation_macroF1,mean_frame_macro_f1_present_behaviors,mean_bout_macro_f1_iou25_present_behaviors,mean_bout_macro_f1_iou50_present_behaviors,pred_bouts_total,cpu_pct,ram_gb_used,gpu_util_pct,vram_gb_used,gpu_power_w
yolo_sppf_visual_only_attention512_seed44,visual_only,attention,512,44,smoothed_frames,0.767380582605304,0.6747115625317389,0.602494547524176,0.400220619964689,1494,50.7,8.73,14.0,1.21,15.5
yolo_sppf_visual_only_attention896_seed42,visual_only,attention,896,42,smoothed_frames,0.7819704859614192,0.6896436905846818,0.6030744016304792,0.4259192059954613,1528,50.8,8.61,15.0,1.21,15.4
yolo_sppf_visual_only_attention896_seed43,visual_only,attention,896,43,smoothed_frames,0.7723833388508812,0.6887407674669797,0.5939673459272645,0.4296870168384736,1550,50.7,8.65,15.0,1.21,15.8
yolo_sppf_visual_only_attention896_seed44,visual_only,attention,896,44,smoothed_frames,0.7779681206791194,0.6817877928655308,0.6031112848745198,0.4193050062038183,1523,50.6,8.7,15.0,1.21,15.8
yolo_sppf_visual_only_lstm256_seed42,visual_only,lstm,256,42,smoothed_frames,0.7396454064471228,0.6751400259910907,0.5925357303879001,0.4276790231258799,1615,53.5,10.29,22.0,1.6,11.4
yolo_sppf_visual_only_lstm256_seed43,visual_only,lstm,256,43,smoothed_frames,0.7443791724681439,0.6700910648534562,0.5878747110308084,0.4117992145964099,1676,50.9,10.15,9.0,1.6,15.1
yolo_sppf_visual_only_lstm256_seed44,visual_only,lstm,256,44,smoothed_frames,0.7418574016027397,0.6697277656244073,0.5997369554816928,0.4088728659035069,1543,53.5,10.21,22.0,1.6,12.4
yolo_sppf_visual_only_lstm512_seed42,visual_only,lstm,512,42,smoothed_frames,0.7496878312048654,0.6724767223091664,0.5845577852317053,0.4014318736053425,1496,51.0,10.71,11.0,1.55,15.6
yolo_sppf_visual_only_lstm512_seed43,visual_only,lstm,512,43,smoothed_frames,0.75560592010295,0.6663492921086469,0.5827340267618984,0.4061696800052435,1564,50.9,10.64,10.0,1.55,16.5
yolo_sppf_visual_only_lstm512_seed44,visual_only,lstm,512,44,smoothed_frames,0.7615038135660761,0.6658918715079384,0.5754790804898533,0.397256903761603,1531,51.9,10.67,12.0,1.54,10.0
yolo_sppf_visual_only_lstm896_seed42,visual_only,lstm,896,42,smoothed_frames,0.7362063320459132,0.6783464798334149,0.5984930866447867,0.4277820818079799,1603,51.5,10.59,24.0,1.62,13.6
yolo_sppf_visual_only_lstm896_seed43,visual_only,lstm,896,43,smoothed_frames,0.7400785860607422,0.6720144087916021,0.5975341957726297,0.4054412756749084,1648,50.7,10.51,24.0,1.62,17.5
yolo_sppf_visual_only_lstm896_seed44,visual_only,lstm,896,44,smoothed_frames,0.7581782320102403,0.6733974714505285,0.5893982476633605,0.4219385245118442,1593,51.1,10.51,24.0,1.62,17.6
