stream,head,capacity,class,threshold,n_seeds,matched_bouts_mean,median_tiou_mean,median_tiou_sd,median_abs_start_offset_frames_mean,median_abs_start_offset_frames_sd,median_abs_end_offset_frames_mean,median_abs_end_offset_frames_sd,median_abs_mean_boundary_offset_frames_mean,median_abs_mean_boundary_offset_frames_sd,median_duration_error_frames_mean,median_duration_error_frames_sd,median_abs_duration_error_frames_mean,median_abs_duration_error_frames_sd,median_pred_duration_frames_mean,median_pred_duration_frames_sd,median_gt_duration_frames_mean,median_gt_duration_frames_sd
animal_visual_only,attention,896,investigation,0.25,3,580.0,0.5554784876967975,0.014811937006383254,12.0,1.0,12.5,0.5,14.5,0.8660254037844386,17.666666666666668,5.033222956847166,24.166666666666668,2.5658007197234416,68.33333333333333,9.237604307034013,51.5,4.092676385936225
animal_visual_only,attention,896,investigation,0.5,3,351.6666666666667,0.6906565656565657,0.005467332094598748,10.666666666666666,1.1547005383792517,9.333333333333334,0.5773502691896258,11.666666666666666,0.28867513459481314,13.166666666666666,3.403429642777023,18.333333333333332,2.081665999466133,84.33333333333333,9.237604307034013,67.33333333333333,2.081665999466134
animal_visual_only,attention,896,mount,0.1,3,158.0,0.7650554489729072,0.015604949250683436,8.5,0.8660254037844386,13.333333333333334,0.5773502691896258,12.166666666666666,1.040832999733066,-3.5,2.7838821814150108,19.0,2.0,95.0,0.0,101.16666666666667,1.4433756729740634
animal_visual_only,attention,896,mount,0.25,3,153.0,0.7744899815406271,0.017866452693329815,9.0,1.0,12.666666666666666,0.5773502691896255,12.0,1.0,-2.3333333333333335,1.1547005383792515,18.333333333333332,1.5275252316519465,95.0,0.0,101.0,1.0
animal_visual_only,attention,896,mount,0.5,3,133.66666666666666,0.8044815444824557,0.010650030513110137,8.666666666666666,1.5275252316519465,11.166666666666666,0.7637626158259732,10.916666666666666,0.9464847243000455,-1.0,2.0,16.166666666666668,2.0207259421636903,105.66666666666667,9.237604307034012,102.83333333333333,1.2583057392117933
animal_visual_only,lstm,256,attack,0.1,3,207.0,0.4753512596899225,0.021448446279013145,13.333333333333334,1.1547005383792515,16.333333333333332,2.081665999466133,19.166666666666668,2.7537852736430506,13.666666666666666,2.0816659994661326,31.333333333333332,4.725815626252609,68.33333333333333,9.237604307034012,56.333333333333336,0.5773502691896247
animal_visual_only,lstm,256,attack,0.25,3,178.33333333333334,0.5287698412698413,0.013746434980705326,11.833333333333334,1.607275126832159,14.666666666666666,2.0816659994661326,15.833333333333334,2.0816659994661326,12.0,3.0,24.333333333333332,2.886751345948129,65.66666666666667,4.618802153517007,59.333333333333336,0.28867513459481237
animal_visual_only,lstm,256,attack,0.5,3,99.66666666666667,0.7084948320413437,0.0002797239676306331,8.166666666666666,1.0408329997330665,9.5,0.5,10.75,0.9013878188659973,10.5,2.29128784747792,16.5,0.8660254037844386,68.33333333333333,9.237604307034012,59.166666666666664,2.929732638541157
animal_visual_only,lstm,256,investigation,0.1,3,773.3333333333334,0.4673611111111111,0.046132232445117716,14.666666666666666,2.0816659994661326,12.666666666666666,1.1547005383792515,17.833333333333332,2.7537852736430506,26.666666666666668,5.507570547286102,29.333333333333332,5.773502691896257,68.33333333333333,9.237604307034012,36.0,1.7320508075688772
animal_visual_only,lstm,256,investigation,0.25,3,629.3333333333334,0.5454834605597965,0.02947351087943221,13.333333333333334,1.5275252316519468,10.666666666666666,1.1547005383792515,14.666666666666666,2.0207259421636903,21.666666666666668,3.785938897200183,25.666666666666668,3.785938897200183,68.33333333333333,9.237604307034012,42.666666666666664,1.1547005383792526
