model_name,head,capacity,seed,track,source,frequency_bin,motif_recall
Composition shuffle,null,0,24,Composition shuffle,null,Rare,0.2857142857142857
Composition shuffle,null,0,24,Composition shuffle,null,Intermediate,0.9088235294117647
Composition shuffle,null,0,24,Composition shuffle,null,Common,0.7371007371007371
Markov baseline,null,0,24,Markov baseline,null,Rare,0.42857142857142855
Markov baseline,null,0,24,Markov baseline,null,Intermediate,0.8441176470588235
Markov baseline,null,0,24,Markov baseline,null,Common,0.8243243243243243
Composition shuffle,null,0,25,Composition shuffle,null,Rare,0.7142857142857143
Composition shuffle,null,0,25,Composition shuffle,null,Intermediate,0.9
Composition shuffle,null,0,25,Composition shuffle,null,Common,0.734029484029484
Markov baseline,null,0,25,Markov baseline,null,Rare,0.42857142857142855
Markov baseline,null,0,25,Markov baseline,null,Intermediate,0.8705882352941177
Markov baseline,null,0,25,Markov baseline,null,Common,0.8390663390663391
Composition shuffle,null,0,26,Composition shuffle,null,Rare,0.2857142857142857
Composition shuffle,null,0,26,Composition shuffle,null,Intermediate,0.8823529411764706
Composition shuffle,null,0,26,Composition shuffle,null,Common,0.7180589680589681
Markov baseline,null,0,26,Markov baseline,null,Rare,0.7142857142857143
Markov baseline,null,0,26,Markov baseline,null,Intermediate,0.8264705882352941
Markov baseline,null,0,26,Markov baseline,null,Common,0.851965601965602
Composition shuffle,null,0,27,Composition shuffle,null,Rare,0.7142857142857143
Composition shuffle,null,0,27,Composition shuffle,null,Intermediate,0.8970588235294118
Composition shuffle,null,0,27,Composition shuffle,null,Common,0.7610565110565111
Markov baseline,null,0,27,Markov baseline,null,Rare,0.7142857142857143
Markov baseline,null,0,27,Markov baseline,null,Intermediate,0.8470588235294118
Markov baseline,null,0,27,Markov baseline,null,Common,0.8212530712530712
Composition shuffle,null,0,28,Composition shuffle,null,Rare,0.2857142857142857
Composition shuffle,null,0,28,Composition shuffle,null,Intermediate,0.9
Composition shuffle,null,0,28,Composition shuffle,null,Common,0.7401719901719902
Markov baseline,null,0,28,Markov baseline,null,Rare,0.7142857142857143
Markov baseline,null,0,28,Markov baseline,null,Intermediate,0.8088235294117647
Markov baseline,null,0,28,Markov baseline,null,Common,0.831081081081081
Composition shuffle,null,0,29,Composition shuffle,null,Rare,0.42857142857142855
Composition shuffle,null,0,29,Composition shuffle,null,Intermediate,0.8852941176470588
Composition shuffle,null,0,29,Composition shuffle,null,Common,0.7573710073710074
Markov baseline,null,0,29,Markov baseline,null,Rare,0.42857142857142855
Markov baseline,null,0,29,Markov baseline,null,Intermediate,0.8852941176470588
Markov baseline,null,0,29,Markov baseline,null,Common,0.8402948402948403
Composition shuffle,null,0,30,Composition shuffle,null,Rare,0.5714285714285714
Composition shuffle,null,0,30,Composition shuffle,null,Intermediate,0.888235294117647
