stream,head,capacity,prediction_type,n_seeds,evaluated_videos,mean_accuracy_seed_mean,mean_frame_macro_f1_present_behaviors_seed_mean,mean_bout_macro_f1_iou10_present_behaviors_seed_mean,mean_bout_macro_f1_iou25_present_behaviors_seed_mean,mean_bout_macro_f1_iou50_present_behaviors_seed_mean,mean_accuracy_seed_sd,mean_frame_macro_f1_present_behaviors_seed_sd,mean_bout_macro_f1_iou10_present_behaviors_seed_sd,mean_bout_macro_f1_iou25_present_behaviors_seed_sd,mean_bout_macro_f1_iou50_present_behaviors_seed_sd
no_relations,attention,512,smoothed_frames,3,28.0,0.8424437331834297,0.6887686879325502,0.6711669686665661,0.6058061954797197,0.4182912524138607,0.015723746321796274,0.011886189221873976,0.007570510384452821,0.007073151855368835,0.019704839195936377
no_relations,attention,896,raw_windows,3,28.0,0.8505332173592608,0.6973285620587948,0.6678078101164386,0.6139020276603276,0.43693990154246737,0.0137425759017875,0.012283737755821993,0.015370092587827927,0.0012993795243460046,0.022413593049176343
no_relations,attention,896,smoothed_frames,3,28.0,0.850470973192143,0.6972828824796533,0.6676764919740897,0.6136070866847679,0.43675205635781816,0.013742575901787504,0.012283987094044086,0.015401802507930901,0.0013354502450369321,0.022381167075312267
no_relations,lstm,256,raw_windows,3,28.0,0.8522801847136606,0.6868711512299154,0.6686491197388422,0.6163768014594773,0.44050723788035184,0.015493475879739382,0.016509150712099373,0.007680369712678814,0.013326544546519384,0.023691961695985482
no_relations,lstm,256,smoothed_frames,3,28.0,0.852217940546543,0.6868230322016468,0.668488211577944,0.6161327169677508,0.44033174263348873,0.01549347587973941,0.016507573896551518,0.007700189156571887,0.013332455935878148,0.02370021977957218
no_relations,lstm,512,raw_windows,3,28.0,0.8533342889674257,0.6980930675483137,0.6867076461629527,0.6318690060458931,0.45273473575571005,0.005504671714299156,0.003468874997997138,0.007294357830257202,0.010454451461933809,0.007239620547921107
no_relations,lstm,512,smoothed_frames,3,28.0,0.8532720448003079,0.6980449608492701,0.6865160005181258,0.631645302400821,0.45257817740587436,0.005504671714299103,0.003469409748429547,0.007234591285420875,0.010489113310898916,0.007264943814251346
no_relations,lstm,896,raw_windows,3,28.0,0.8499412273339696,0.6961943902923665,0.6836864545353737,0.6273273614299791,0.45248941858462804,0.006067717536712316,0.009530938585507132,0.005010459521662325,0.00989006380462761,0.016731357541884855
no_relations,lstm,896,smoothed_frames,3,28.0,0.849878983166852,0.6961463647267956,0.6835283755605928,0.6270857524560173,0.4523156070632963,0.006067717536712245,0.009531010067920303,0.0049537478022368756,0.00990256973776994,0.016729410196597946
pose_relations_only,attention,256,raw_windows,3,28.0,0.8746116523103004,0.7238146963543116,0.7079822162139585,0.6629503775099436,0.5067107495509472,0.002969173155558771,0.0068364487754371435,0.006427606504561711,0.005737211916784084,0.001374429361193266
