source,track,head,capacity,seed,split,video_id,gt_sequence_length,pred_sequence_length,sequence_length_ratio_pred_over_gt,n,ngram_tp,pred_ngram_total,gt_ngram_total,ngram_precision,ngram_recall,ngram_f1
model,Attention-512,attention,512,43,test_1,Mouse061_20160526_18-38-49,63,59,0.9365079365079365,3,48,57,61,0.8421052631578947,0.7868852459016393,0.8135593220338982
model,Attention-512,attention,512,43,test_1,Mouse061_20160526_18-38-49,63,59,0.9365079365079365,4,46,56,60,0.8214285714285714,0.7666666666666667,0.793103448275862
model,Attention-512,attention,512,44,test_1,Mouse061_20160526_18-38-49,63,54,0.8571428571428571,1,53,54,63,0.9814814814814815,0.8412698412698413,0.905982905982906
model,Attention-512,attention,512,44,test_1,Mouse061_20160526_18-38-49,63,54,0.8571428571428571,2,51,53,62,0.9622641509433962,0.8225806451612904,0.8869565217391304
model,Attention-512,attention,512,44,test_1,Mouse061_20160526_18-38-49,63,54,0.8571428571428571,3,49,52,61,0.9423076923076923,0.8032786885245902,0.8672566371681416
model,Attention-512,attention,512,44,test_1,Mouse061_20160526_18-38-49,63,54,0.8571428571428571,4,47,51,60,0.9215686274509803,0.7833333333333333,0.8468468468468469
model,Attention-896,attention,896,42,test_1,Mouse061_20160526_18-38-49,63,57,0.9047619047619048,1,55,57,63,0.9649122807017544,0.873015873015873,0.9166666666666667
model,Attention-896,attention,896,42,test_1,Mouse061_20160526_18-38-49,63,57,0.9047619047619048,2,52,56,62,0.9285714285714286,0.8387096774193549,0.8813559322033899
model,Attention-896,attention,896,42,test_1,Mouse061_20160526_18-38-49,63,57,0.9047619047619048,3,50,55,61,0.9090909090909091,0.819672131147541,0.8620689655172413
model,Attention-896,attention,896,42,test_1,Mouse061_20160526_18-38-49,63,57,0.9047619047619048,4,48,54,60,0.8888888888888888,0.8,0.8421052631578948
model,Attention-896,attention,896,43,test_1,Mouse061_20160526_18-38-49,63,55,0.873015873015873,1,54,55,63,0.9818181818181818,0.8571428571428571,0.9152542372881356
model,Attention-896,attention,896,43,test_1,Mouse061_20160526_18-38-49,63,55,0.873015873015873,2,52,54,62,0.9629629629629629,0.8387096774193549,0.896551724137931
model,Attention-896,attention,896,43,test_1,Mouse061_20160526_18-38-49,63,55,0.873015873015873,3,50,53,61,0.9433962264150944,0.819672131147541,0.8771929824561403
model,Attention-896,attention,896,43,test_1,Mouse061_20160526_18-38-49,63,55,0.873015873015873,4,48,52,60,0.9230769230769231,0.8,0.8571428571428571
model,Attention-896,attention,896,44,test_1,Mouse061_20160526_18-38-49,63,58,0.9206349206349206,1,56,58,63,0.9655172413793104,0.8888888888888888,0.9256198347107438
model,Attention-896,attention,896,44,test_1,Mouse061_20160526_18-38-49,63,58,0.9206349206349206,2,53,57,62,0.9298245614035088,0.8548387096774194,0.8907563025210085
model,Attention-896,attention,896,44,test_1,Mouse061_20160526_18-38-49,63,58,0.9206349206349206,3,51,56,61,0.9107142857142857,0.8360655737704918,0.8717948717948717
model,Attention-896,attention,896,44,test_1,Mouse061_20160526_18-38-49,63,58,0.9206349206349206,4,50,55,60,0.9090909090909091,0.8333333333333334,0.8695652173913043
model,LSTM-256,lstm,256,42,test_1,Mouse061_20160526_18-38-49,63,57,0.9047619047619048,1,56,57,63,0.9824561403508771,0.8888888888888888,0.9333333333333333
model,LSTM-256,lstm,256,42,test_1,Mouse061_20160526_18-38-49,63,57,0.9047619047619048,2,54,56,62,0.9642857142857143,0.8709677419354839,0.9152542372881356
model,LSTM-256,lstm,256,42,test_1,Mouse061_20160526_18-38-49,63,57,0.9047619047619048,3,52,55,61,0.9454545454545454,0.8524590163934426,0.8965517241379309
model,LSTM-256,lstm,256,42,test_1,Mouse061_20160526_18-38-49,63,57,0.9047619047619048,4,50,54,60,0.9259259259259259,0.8333333333333334,0.8771929824561403
model,LSTM-256,lstm,256,43,test_1,Mouse061_20160526_18-38-49,63,56,0.8888888888888888,1,56,56,63,1.0,0.8888888888888888,0.9411764705882353
model,LSTM-256,lstm,256,43,test_1,Mouse061_20160526_18-38-49,63,56,0.8888888888888888,2,55,55,62,1.0,0.8870967741935484,0.9401709401709402
model,LSTM-256,lstm,256,43,test_1,Mouse061_20160526_18-38-49,63,56,0.8888888888888888,3,53,54,61,0.9814814814814815,0.8688524590163934,0.9217391304347826
model,LSTM-256,lstm,256,43,test_1,Mouse061_20160526_18-38-49,63,56,0.8888888888888888,4,51,53,60,0.9622641509433962,0.85,0.9026548672566371
model,LSTM-256,lstm,256,44,test_1,Mouse061_20160526_18-38-49,63,57,0.9047619047619048,1,57,57,63,1.0,0.9047619047619048,0.9500000000000001
model,LSTM-256,lstm,256,44,test_1,Mouse061_20160526_18-38-49,63,57,0.9047619047619048,2,56,56,62,1.0,0.9032258064516129,0.9491525423728813
model,LSTM-256,lstm,256,44,test_1,Mouse061_20160526_18-38-49,63,57,0.9047619047619048,3,54,55,61,0.9818181818181818,0.8852459016393442,0.9310344827586207
model,LSTM-256,lstm,256,44,test_1,Mouse061_20160526_18-38-49,63,57,0.9047619047619048,4,52,54,60,0.9629629629629629,0.8666666666666667,0.912280701754386
model,LSTM-512,lstm,512,42,test_1,Mouse061_20160526_18-38-49,63,71,1.126984126984127,1,63,71,63,0.8873239436619719,1.0,0.9402985074626865
model,LSTM-512,lstm,512,42,test_1,Mouse061_20160526_18-38-49,63,71,1.126984126984127,2,56,70,62,0.8,0.9032258064516129,0.8484848484848486
model,LSTM-512,lstm,512,42,test_1,Mouse061_20160526_18-38-49,63,71,1.126984126984127,3,54,69,61,0.782608695652174,0.8852459016393442,0.8307692307692308
model,LSTM-512,lstm,512,42,test_1,Mouse061_20160526_18-38-49,63,71,1.126984126984127,4,52,68,60,0.7647058823529411,0.8666666666666667,0.8125
model,LSTM-512,lstm,512,43,test_1,Mouse061_20160526_18-38-49,63,64,1.0158730158730158,1,60,64,63,0.9375,0.9523809523809523,0.9448818897637795
model,LSTM-512,lstm,512,43,test_1,Mouse061_20160526_18-38-49,63,64,1.0158730158730158,2,55,63,62,0.873015873015873,0.8870967741935484,0.88
model,LSTM-512,lstm,512,43,test_1,Mouse061_20160526_18-38-49,63,64,1.0158730158730158,3,53,62,61,0.8548387096774194,0.8688524590163934,0.8617886178861789
model,LSTM-512,lstm,512,43,test_1,Mouse061_20160526_18-38-49,63,64,1.0158730158730158,4,51,61,60,0.8360655737704918,0.85,0.8429752066115703
model,LSTM-512,lstm,512,44,test_1,Mouse061_20160526_18-38-49,63,57,0.9047619047619048,1,57,57,63,1.0,0.9047619047619048,0.9500000000000001
model,LSTM-512,lstm,512,44,test_1,Mouse061_20160526_18-38-49,63,57,0.9047619047619048,2,56,56,62,1.0,0.9032258064516129,0.9491525423728813
model,LSTM-512,lstm,512,44,test_1,Mouse061_20160526_18-38-49,63,57,0.9047619047619048,3,54,55,61,0.9818181818181818,0.8852459016393442,0.9310344827586207
model,LSTM-512,lstm,512,44,test_1,Mouse061_20160526_18-38-49,63,57,0.9047619047619048,4,52,54,60,0.9629629629629629,0.8666666666666667,0.912280701754386
model,LSTM-896,lstm,896,42,test_1,Mouse061_20160526_18-38-49,63,66,1.0476190476190477,1,61,66,63,0.9242424242424242,0.9682539682539683,0.9457364341085271
model,LSTM-896,lstm,896,42,test_1,Mouse061_20160526_18-38-49,63,66,1.0476190476190477,2,55,65,62,0.8461538461538461,0.8870967741935484,0.8661417322834646
model,LSTM-896,lstm,896,42,test_1,Mouse061_20160526_18-38-49,63,66,1.0476190476190477,3,53,64,61,0.828125,0.8688524590163934,0.8480000000000001
model,LSTM-896,lstm,896,42,test_1,Mouse061_20160526_18-38-49,63,66,1.0476190476190477,4,51,63,60,0.8095238095238095,0.85,0.8292682926829269
model,LSTM-896,lstm,896,43,test_1,Mouse061_20160526_18-38-49,63,69,1.0952380952380953,1,62,69,63,0.8985507246376812,0.9841269841269841,0.9393939393939393
model,LSTM-896,lstm,896,43,test_1,Mouse061_20160526_18-38-49,63,69,1.0952380952380953,2,54,68,62,0.7941176470588235,0.8709677419354839,0.8307692307692308
model,LSTM-896,lstm,896,43,test_1,Mouse061_20160526_18-38-49,63,69,1.0952380952380953,3,52,67,61,0.7761194029850746,0.8524590163934426,0.8124999999999999
model,LSTM-896,lstm,896,43,test_1,Mouse061_20160526_18-38-49,63,69,1.0952380952380953,4,50,66,60,0.7575757575757576,0.8333333333333334,0.7936507936507938
model,LSTM-896,lstm,896,44,test_1,Mouse061_20160526_18-38-49,63,78,1.2380952380952381,1,63,78,63,0.8076923076923077,1.0,0.8936170212765957
model,LSTM-896,lstm,896,44,test_1,Mouse061_20160526_18-38-49,63,78,1.2380952380952381,2,55,77,62,0.7142857142857143,0.8870967741935484,0.7913669064748201
model,LSTM-896,lstm,896,44,test_1,Mouse061_20160526_18-38-49,63,78,1.2380952380952381,3,53,76,61,0.6973684210526315,0.8688524590163934,0.7737226277372262
model,LSTM-896,lstm,896,44,test_1,Mouse061_20160526_18-38-49,63,78,1.2380952380952381,4,51,75,60,0.68,0.85,0.7555555555555556
model,Attention-256,attention,256,42,test_1,Mouse062_20160526_18-56-26,79,54,0.6835443037974683,1,54,54,79,1.0,0.6835443037974683,0.8120300751879699
model,Attention-256,attention,256,42,test_1,Mouse062_20160526_18-56-26,79,54,0.6835443037974683,2,53,53,78,1.0,0.6794871794871795,0.8091603053435115
model,Attention-256,attention,256,42,test_1,Mouse062_20160526_18-56-26,79,54,0.6835443037974683,3,51,52,77,0.9807692307692307,0.6623376623376623,0.7906976744186047
model,Attention-256,attention,256,42,test_1,Mouse062_20160526_18-56-26,79,54,0.6835443037974683,4,50,51,76,0.9803921568627451,0.6578947368421053,0.7874015748031497
model,Attention-256,attention,256,43,test_1,Mouse062_20160526_18-56-26,79,60,0.759493670886076,1,59,60,79,0.9833333333333333,0.7468354430379747,0.8489208633093525
model,Attention-256,attention,256,43,test_1,Mouse062_20160526_18-56-26,79,60,0.759493670886076,2,57,59,78,0.9661016949152542,0.7307692307692307,0.8321167883211679
model,Attention-256,attention,256,43,test_1,Mouse062_20160526_18-56-26,79,60,0.759493670886076,3,54,58,77,0.9310344827586207,0.7012987012987013,0.8
model,Attention-256,attention,256,43,test_1,Mouse062_20160526_18-56-26,79,60,0.759493670886076,4,53,57,76,0.9298245614035088,0.6973684210526315,0.7969924812030075
model,Attention-256,attention,256,44,test_1,Mouse062_20160526_18-56-26,79,55,0.6962025316455697,1,54,55,79,0.9818181818181818,0.6835443037974683,0.8059701492537312
model,Attention-256,attention,256,44,test_1,Mouse062_20160526_18-56-26,79,55,0.6962025316455697,2,52,54,78,0.9629629629629629,0.6666666666666666,0.7878787878787878
model,Attention-256,attention,256,44,test_1,Mouse062_20160526_18-56-26,79,55,0.6962025316455697,3,49,53,77,0.9245283018867925,0.6363636363636364,0.7538461538461539
model,Attention-256,attention,256,44,test_1,Mouse062_20160526_18-56-26,79,55,0.6962025316455697,4,47,52,76,0.9038461538461539,0.618421052631579,0.734375
model,Attention-512,attention,512,42,test_1,Mouse062_20160526_18-56-26,79,67,0.8481012658227848,1,59,67,79,0.8805970149253731,0.7468354430379747,0.8082191780821918
model,Attention-512,attention,512,42,test_1,Mouse062_20160526_18-56-26,79,67,0.8481012658227848,2,50,66,78,0.7575757575757576,0.6410256410256411,0.6944444444444444
model,Attention-512,attention,512,42,test_1,Mouse062_20160526_18-56-26,79,67,0.8481012658227848,3,42,65,77,0.6461538461538462,0.5454545454545454,0.5915492957746479
model,Attention-512,attention,512,42,test_1,Mouse062_20160526_18-56-26,79,67,0.8481012658227848,4,35,64,76,0.546875,0.4605263157894737,0.5
model,Attention-512,attention,512,43,test_1,Mouse062_20160526_18-56-26,79,58,0.7341772151898734,1,57,58,79,0.9827586206896551,0.7215189873417721,0.8321167883211679
model,Attention-512,attention,512,43,test_1,Mouse062_20160526_18-56-26,79,58,0.7341772151898734,2,55,57,78,0.9649122807017544,0.7051282051282052,0.8148148148148149
model,Attention-512,attention,512,43,test_1,Mouse062_20160526_18-56-26,79,58,0.7341772151898734,3,52,56,77,0.9285714285714286,0.6753246753246753,0.7819548872180452
model,Attention-512,attention,512,43,test_1,Mouse062_20160526_18-56-26,79,58,0.7341772151898734,4,51,55,76,0.9272727272727272,0.6710526315789473,0.7786259541984732
