stream,head,capacity,class,threshold,n_seeds,bout_precision_mean,bout_precision_sd,bout_recall_mean,bout_recall_sd,bout_f1_mean,bout_f1_sd,tp_mean,fp_mean,fn_mean
animal_visual_only,lstm,256,attack,0.1,3,0.6957180272309008,0.02421015961186552,0.5814606741573033,0.020255906041932552,0.632978696490265,0.003301790462628481,207.0,91.0,149.0
animal_visual_only,lstm,256,attack,0.25,3,0.599181503691934,0.016555312171201333,0.500936329588015,0.020705378639977484,0.5452432637658686,0.005788739543887705,178.33333333333334,119.66666666666667,177.66666666666666
animal_visual_only,lstm,256,attack,0.5,3,0.3346178821352661,0.02155514565848048,0.2799625468164794,0.024218196922055367,0.30462678626826595,0.021383115896056046,99.66666666666667,198.33333333333334,256.3333333333333
animal_visual_only,lstm,256,investigation,0.1,3,0.6793428401899592,0.039301629606224776,0.5271529197909567,0.01575709015913283,0.5928931030684031,0.005741788265951824,773.3333333333334,369.0,693.6666666666666
animal_visual_only,lstm,256,investigation,0.25,3,0.5540894555660336,0.05362170092514265,0.42899341058850265,0.009254902001552504,0.4829828739676419,0.025012952278250348,629.3333333333334,513.0,837.6666666666666
animal_visual_only,lstm,256,investigation,0.5,3,0.3220918662943974,0.05315093364018779,0.24835264712565328,0.021559677317872315,0.2801260116724779,0.03409245218489292,364.3333333333333,778.0,1102.6666666666667
animal_visual_only,lstm,256,mount,0.1,3,0.7492903962318297,0.03862698788357484,0.719551282051282,0.040888944942862354,0.7329941347244584,0.0189784970704611,149.66666666666666,50.666666666666664,58.333333333333336
animal_visual_only,lstm,256,mount,0.25,3,0.7168719990434688,0.026437498772403572,0.6891025641025642,0.048396374585068846,0.7016258768844438,0.020094196172130423,143.33333333333334,57.0,64.66666666666667
animal_visual_only,lstm,256,mount,0.5,3,0.608252810155636,0.022067101872531122,0.5865384615384616,0.07082173010892415,0.5962537306485888,0.04423672591528896,122.0,78.33333333333333,86.0
animal_visual_only,lstm,512,attack,0.1,3,0.6538865333086833,0.11096372606970346,0.5589887640449438,0.021938903584007446,0.5985355105079908,0.031204142474584567,199.0,112.0,157.0
animal_visual_only,lstm,512,attack,0.25,3,0.5547613071797257,0.08989113413501672,0.47471910112359544,0.02193890358400746,0.5080847234478032,0.022814334430038462,169.0,142.0,187.0
animal_visual_only,lstm,512,attack,0.5,3,0.32304280685721,0.08100146444597843,0.27340823970037453,0.015470703784511552,0.2940318986013697,0.03930590543623854,97.33333333333333,213.66666666666666,258.6666666666667
animal_visual_only,lstm,512,investigation,0.1,3,0.6820573734681638,0.06246125982265079,0.5057941376959781,0.0006816632583503124,0.5800610344683603,0.02299092227868991,742.0,352.0,725.0
animal_visual_only,lstm,512,investigation,0.25,3,0.5684793434604419,0.07987330568058092,0.4203590093160645,0.021397423071108455,0.48267013130242065,0.042843785901770425,616.6666666666666,477.3333333333333,850.3333333333334
animal_visual_only,lstm,512,investigation,0.5,3,0.33532579217097985,0.06810179463568881,0.2469893206089525,0.02801738267084455,0.28407866086503203,0.0431380202349587,362.3333333333333,731.6666666666666,1104.6666666666667
animal_visual_only,lstm,512,mount,0.1,3,0.7454226163058498,0.06059888717877782,0.7275641025641025,0.07296507972969357,0.7323305860805861,0.010844345968845126,151.33333333333334,53.666666666666664,56.666666666666664
animal_visual_only,lstm,512,mount,0.25,3,0.707698705153795,0.058596981861207535,0.6907051282051282,0.06972535230066373,0.6952216117216117,0.009038019517788723,143.66666666666666,61.333333333333336,64.33333333333333
animal_visual_only,lstm,512,mount,0.5,3,0.6005335482880393,0.019339750430318815,0.5897435897435898,0.08895313516908926,0.5918257020757021,0.037401115340007354,122.66666666666667,82.33333333333333,85.33333333333333
animal_visual_only,lstm,896,attack,0.1,3,0.6573147466204837,0.07228590774554479,0.552434456928839,0.04093163482096327,0.5970362057926861,0.00533156155609022,196.66666666666666,106.33333333333333,159.33333333333334
animal_visual_only,lstm,896,attack,0.25,3,0.5461259589189927,0.061922789504626714,0.4588014981273408,0.032556813952647416,0.4959324944685522,0.006067782059747527,163.33333333333334,139.66666666666666,192.66666666666666
animal_visual_only,lstm,896,attack,0.5,3,0.3130355334834784,0.05342433138149684,0.2612359550561798,0.005617977528089867,0.28319320526928843,0.018258179464423048,93.0,210.0,263.0
animal_visual_only,lstm,896,investigation,0.1,3,0.6664847506940518,0.011537880715833016,0.5135196546239492,0.021386562353174526,0.5797783426707056,0.009924266782418194,753.3333333333334,377.6666666666667,713.6666666666666
