track,head,capacity,seed,prediction_type,threshold,class,duration_bin,gt_bouts,matched_bouts,recall
Attention-256,attention,256,43,smoothed_frames,0.5,attack,<0.25,26,3,0.11538461538461539
Attention-256,attention,256,43,smoothed_frames,0.5,attack,0.25-0.5,46,5,0.10869565217391304
Attention-256,attention,256,43,smoothed_frames,0.5,attack,0.5-1,77,12,0.15584415584415584
Attention-256,attention,256,43,smoothed_frames,0.5,attack,1-2,91,14,0.15384615384615385
Attention-256,attention,256,43,smoothed_frames,0.5,attack,2-4,78,12,0.15384615384615385
Attention-256,attention,256,43,smoothed_frames,0.5,attack,4-8,36,5,0.1388888888888889
Attention-256,attention,256,43,smoothed_frames,0.5,attack,>=8,2,0,0.0
Attention-256,attention,256,43,smoothed_frames,0.5,investigation,<0.25,220,25,0.11363636363636363
Attention-256,attention,256,43,smoothed_frames,0.5,investigation,0.25-0.5,301,58,0.19269102990033224
Attention-256,attention,256,43,smoothed_frames,0.5,investigation,0.5-1,379,94,0.24802110817941952
Attention-256,attention,256,43,smoothed_frames,0.5,investigation,1-2,238,74,0.31092436974789917
Attention-256,attention,256,43,smoothed_frames,0.5,investigation,2-4,165,56,0.3393939393939394
Attention-256,attention,256,43,smoothed_frames,0.5,investigation,4-8,111,58,0.5225225225225225
Attention-256,attention,256,43,smoothed_frames,0.5,investigation,>=8,53,33,0.6226415094339622
Attention-256,attention,256,43,smoothed_frames,0.5,mount,<0.25,5,1,0.2
Attention-256,attention,256,43,smoothed_frames,0.5,mount,0.25-0.5,13,2,0.15384615384615385
Attention-256,attention,256,43,smoothed_frames,0.5,mount,0.5-1,25,2,0.08
Attention-256,attention,256,43,smoothed_frames,0.5,mount,1-2,34,6,0.17647058823529413
Attention-256,attention,256,43,smoothed_frames,0.5,mount,2-4,62,8,0.12903225806451613
Attention-256,attention,256,43,smoothed_frames,0.5,mount,4-8,30,6,0.2
Attention-256,attention,256,43,smoothed_frames,0.5,mount,>=8,39,12,0.3076923076923077
Attention-256,attention,256,44,raw_windows,0.25,attack,<0.25,26,4,0.15384615384615385
Attention-256,attention,256,44,raw_windows,0.25,attack,0.25-0.5,46,10,0.21739130434782608
Attention-256,attention,256,44,raw_windows,0.25,attack,0.5-1,77,15,0.19480519480519481
Attention-256,attention,256,44,raw_windows,0.25,attack,1-2,91,24,0.26373626373626374
Attention-256,attention,256,44,raw_windows,0.25,attack,2-4,78,15,0.19230769230769232
Attention-256,attention,256,44,raw_windows,0.25,attack,4-8,36,7,0.19444444444444445
Attention-256,attention,256,44,raw_windows,0.25,attack,>=8,2,0,0.0
Attention-256,attention,256,44,raw_windows,0.25,investigation,<0.25,220,53,0.2409090909090909
Attention-256,attention,256,44,raw_windows,0.25,investigation,0.25-0.5,301,94,0.3122923588039867
Attention-256,attention,256,44,raw_windows,0.25,investigation,0.5-1,379,128,0.33773087071240104
Attention-256,attention,256,44,raw_windows,0.25,investigation,1-2,238,93,0.3907563025210084
Attention-256,attention,256,44,raw_windows,0.25,investigation,2-4,165,70,0.42424242424242425
Attention-256,attention,256,44,raw_windows,0.25,investigation,4-8,111,64,0.5765765765765766
Attention-256,attention,256,44,raw_windows,0.25,investigation,>=8,53,36,0.6792452830188679
Attention-256,attention,256,44,raw_windows,0.25,mount,<0.25,5,1,0.2
Attention-256,attention,256,44,raw_windows,0.25,mount,0.25-0.5,13,3,0.23076923076923078
Attention-256,attention,256,44,raw_windows,0.25,mount,0.5-1,25,3,0.12
Attention-256,attention,256,44,raw_windows,0.25,mount,1-2,34,6,0.17647058823529413
Attention-256,attention,256,44,raw_windows,0.25,mount,2-4,62,8,0.12903225806451613
Attention-256,attention,256,44,raw_windows,0.25,mount,4-8,30,7,0.23333333333333334
Attention-256,attention,256,44,raw_windows,0.25,mount,>=8,39,12,0.3076923076923077
Attention-256,attention,256,44,raw_windows,0.5,attack,<0.25,26,3,0.11538461538461539
Attention-256,attention,256,44,raw_windows,0.5,attack,0.25-0.5,46,6,0.13043478260869565
Attention-256,attention,256,44,raw_windows,0.5,attack,0.5-1,77,11,0.14285714285714285
Attention-256,attention,256,44,raw_windows,0.5,attack,1-2,91,15,0.16483516483516483
Attention-256,attention,256,44,raw_windows,0.5,attack,2-4,78,9,0.11538461538461539
Attention-256,attention,256,44,raw_windows,0.5,attack,4-8,36,5,0.1388888888888889
Attention-256,attention,256,44,raw_windows,0.5,attack,>=8,2,0,0.0
Attention-256,attention,256,44,raw_windows,0.5,investigation,<0.25,220,29,0.1318181818181818
Attention-256,attention,256,44,raw_windows,0.5,investigation,0.25-0.5,301,56,0.18604651162790697
Attention-256,attention,256,44,raw_windows,0.5,investigation,0.5-1,379,88,0.23218997361477572
Attention-256,attention,256,44,raw_windows,0.5,investigation,1-2,238,66,0.2773109243697479
Attention-256,attention,256,44,raw_windows,0.5,investigation,2-4,165,54,0.32727272727272727
Attention-256,attention,256,44,raw_windows,0.5,investigation,4-8,111,50,0.45045045045045046
Attention-256,attention,256,44,raw_windows,0.5,investigation,>=8,53,30,0.5660377358490566
Attention-256,attention,256,44,raw_windows,0.5,mount,<0.25,5,1,0.2
Attention-256,attention,256,44,raw_windows,0.5,mount,0.25-0.5,13,2,0.15384615384615385
Attention-256,attention,256,44,raw_windows,0.5,mount,0.5-1,25,2,0.08
Attention-256,attention,256,44,raw_windows,0.5,mount,1-2,34,6,0.17647058823529413
Attention-256,attention,256,44,raw_windows,0.5,mount,2-4,62,8,0.12903225806451613
Attention-256,attention,256,44,raw_windows,0.5,mount,4-8,30,6,0.2
Attention-256,attention,256,44,raw_windows,0.5,mount,>=8,39,12,0.3076923076923077
Attention-256,attention,256,44,smoothed_frames,0.25,attack,<0.25,26,4,0.15384615384615385
Attention-256,attention,256,44,smoothed_frames,0.25,attack,0.25-0.5,46,10,0.21739130434782608
Attention-256,attention,256,44,smoothed_frames,0.25,attack,0.5-1,77,15,0.19480519480519481
Attention-256,attention,256,44,smoothed_frames,0.25,attack,1-2,91,24,0.26373626373626374
Attention-256,attention,256,44,smoothed_frames,0.25,attack,2-4,78,15,0.19230769230769232
Attention-256,attention,256,44,smoothed_frames,0.25,attack,4-8,36,7,0.19444444444444445
Attention-256,attention,256,44,smoothed_frames,0.25,attack,>=8,2,0,0.0
Attention-256,attention,256,44,smoothed_frames,0.25,investigation,<0.25,220,53,0.2409090909090909
Attention-256,attention,256,44,smoothed_frames,0.25,investigation,0.25-0.5,301,94,0.3122923588039867
Attention-256,attention,256,44,smoothed_frames,0.25,investigation,0.5-1,379,128,0.33773087071240104
Attention-256,attention,256,44,smoothed_frames,0.25,investigation,1-2,238,93,0.3907563025210084
Attention-256,attention,256,44,smoothed_frames,0.25,investigation,2-4,165,70,0.42424242424242425
Attention-256,attention,256,44,smoothed_frames,0.25,investigation,4-8,111,64,0.5765765765765766
Attention-256,attention,256,44,smoothed_frames,0.25,investigation,>=8,53,36,0.6792452830188679
Attention-256,attention,256,44,smoothed_frames,0.25,mount,<0.25,5,1,0.2
Attention-256,attention,256,44,smoothed_frames,0.25,mount,0.25-0.5,13,3,0.23076923076923078
Attention-256,attention,256,44,smoothed_frames,0.25,mount,0.5-1,25,3,0.12
Attention-256,attention,256,44,smoothed_frames,0.25,mount,1-2,34,6,0.17647058823529413
Attention-256,attention,256,44,smoothed_frames,0.25,mount,2-4,62,8,0.12903225806451613
Attention-256,attention,256,44,smoothed_frames,0.25,mount,4-8,30,7,0.23333333333333334
Attention-256,attention,256,44,smoothed_frames,0.25,mount,>=8,39,12,0.3076923076923077
Attention-256,attention,256,44,smoothed_frames,0.5,attack,<0.25,26,3,0.11538461538461539
Attention-256,attention,256,44,smoothed_frames,0.5,attack,0.25-0.5,46,6,0.13043478260869565
Attention-256,attention,256,44,smoothed_frames,0.5,attack,0.5-1,77,11,0.14285714285714285
Attention-256,attention,256,44,smoothed_frames,0.5,attack,1-2,91,15,0.16483516483516483
Attention-256,attention,256,44,smoothed_frames,0.5,attack,2-4,78,9,0.11538461538461539
Attention-256,attention,256,44,smoothed_frames,0.5,attack,4-8,36,5,0.1388888888888889
Attention-256,attention,256,44,smoothed_frames,0.5,attack,>=8,2,0,0.0
Attention-256,attention,256,44,smoothed_frames,0.5,investigation,<0.25,220,29,0.1318181818181818
Attention-256,attention,256,44,smoothed_frames,0.5,investigation,0.25-0.5,301,56,0.18604651162790697
Attention-256,attention,256,44,smoothed_frames,0.5,investigation,0.5-1,379,88,0.23218997361477572
Attention-256,attention,256,44,smoothed_frames,0.5,investigation,1-2,238,66,0.2773109243697479
Attention-256,attention,256,44,smoothed_frames,0.5,investigation,2-4,165,54,0.32727272727272727
Attention-256,attention,256,44,smoothed_frames,0.5,investigation,4-8,111,50,0.45045045045045046
Attention-256,attention,256,44,smoothed_frames,0.5,investigation,>=8,53,30,0.5660377358490566
Attention-256,attention,256,44,smoothed_frames,0.5,mount,<0.25,5,1,0.2
Attention-256,attention,256,44,smoothed_frames,0.5,mount,0.25-0.5,13,2,0.15384615384615385
Attention-256,attention,256,44,smoothed_frames,0.5,mount,0.5-1,25,2,0.08
Attention-256,attention,256,44,smoothed_frames,0.5,mount,1-2,34,6,0.17647058823529413
Attention-256,attention,256,44,smoothed_frames,0.5,mount,2-4,62,8,0.12903225806451613
Attention-256,attention,256,44,smoothed_frames,0.5,mount,4-8,30,6,0.2
Attention-256,attention,256,44,smoothed_frames,0.5,mount,>=8,39,12,0.3076923076923077
LSTM-256,lstm,256,42,raw_windows,0.25,attack,<0.25,26,4,0.15384615384615385
LSTM-256,lstm,256,42,raw_windows,0.25,attack,0.25-0.5,46,10,0.21739130434782608
LSTM-256,lstm,256,42,raw_windows,0.25,attack,0.5-1,77,14,0.18181818181818182
LSTM-256,lstm,256,42,raw_windows,0.25,attack,1-2,91,24,0.26373626373626374
LSTM-256,lstm,256,42,raw_windows,0.25,attack,2-4,78,16,0.20512820512820512
LSTM-256,lstm,256,42,raw_windows,0.25,attack,4-8,36,7,0.19444444444444445
LSTM-256,lstm,256,42,raw_windows,0.25,attack,>=8,2,0,0.0
LSTM-256,lstm,256,42,raw_windows,0.25,investigation,<0.25,220,39,0.17727272727272728
LSTM-256,lstm,256,42,raw_windows,0.25,investigation,0.25-0.5,301,82,0.2724252491694352
