model_name,head,capacity,seed,track,split,video_id,gt_sequence_length,pred_sequence_length,sequence_length_ratio_pred_over_gt,levenshtein_distance,normalized_edit_similarity,n,ngram_tp,pred_ngram_total,gt_ngram_total,ngram_precision,ngram_recall,ngram_f1
yolo_sppf_full_attention512_seed43,attention,512,43,Attention-512,test_1,Mouse061_20160526_18-38-49,63,59,0.9365079365079365,13,0.7936507936507937,1,55,59,63,0.9322033898305084,0.873015873015873,0.9016393442622951
yolo_sppf_full_attention512_seed43,attention,512,43,Attention-512,test_1,Mouse061_20160526_18-38-49,63,59,0.9365079365079365,13,0.7936507936507937,2,50,58,62,0.8620689655172413,0.8064516129032258,0.8333333333333334
yolo_sppf_full_attention512_seed43,attention,512,43,Attention-512,test_1,Mouse061_20160526_18-38-49,63,59,0.9365079365079365,13,0.7936507936507937,3,48,57,61,0.8421052631578947,0.7868852459016393,0.8135593220338982
yolo_sppf_full_attention512_seed43,attention,512,43,Attention-512,test_1,Mouse061_20160526_18-38-49,63,59,0.9365079365079365,13,0.7936507936507937,4,46,56,60,0.8214285714285714,0.7666666666666667,0.793103448275862
yolo_sppf_full_attention512_seed44,attention,512,44,Attention-512,test_1,Mouse061_20160526_18-38-49,63,54,0.8571428571428571,14,0.7777777777777778,1,53,54,63,0.9814814814814815,0.8412698412698413,0.905982905982906
yolo_sppf_full_attention512_seed44,attention,512,44,Attention-512,test_1,Mouse061_20160526_18-38-49,63,54,0.8571428571428571,14,0.7777777777777778,2,51,53,62,0.9622641509433962,0.8225806451612904,0.8869565217391304
yolo_sppf_full_attention512_seed44,attention,512,44,Attention-512,test_1,Mouse061_20160526_18-38-49,63,54,0.8571428571428571,14,0.7777777777777778,3,49,52,61,0.9423076923076923,0.8032786885245902,0.8672566371681416
yolo_sppf_full_attention512_seed44,attention,512,44,Attention-512,test_1,Mouse061_20160526_18-38-49,63,54,0.8571428571428571,14,0.7777777777777778,4,47,51,60,0.9215686274509803,0.7833333333333333,0.8468468468468469
yolo_sppf_full_attention896_seed42,attention,896,42,Attention-896,test_1,Mouse061_20160526_18-38-49,63,57,0.9047619047619048,15,0.7619047619047619,1,55,57,63,0.9649122807017544,0.873015873015873,0.9166666666666667
yolo_sppf_full_attention896_seed42,attention,896,42,Attention-896,test_1,Mouse061_20160526_18-38-49,63,57,0.9047619047619048,15,0.7619047619047619,2,52,56,62,0.9285714285714286,0.8387096774193549,0.8813559322033899
yolo_sppf_full_attention896_seed42,attention,896,42,Attention-896,test_1,Mouse061_20160526_18-38-49,63,57,0.9047619047619048,15,0.7619047619047619,3,50,55,61,0.9090909090909091,0.819672131147541,0.8620689655172413
