model_name,stream,head,capacity,seed,mean_bout_macro_f1_iou25_present_behaviors_raw_windows,mean_bout_macro_f1_iou25_present_behaviors_smoothed_frames,mean_frame_macro_f1_present_behaviors_raw_windows,mean_frame_macro_f1_present_behaviors_smoothed_frames,pred_bouts_total_raw_windows,pred_bouts_total_smoothed_frames,delta_mean_frame_macro_f1_present_behaviors_smoothed_minus_raw,delta_mean_bout_macro_f1_iou25_present_behaviors_smoothed_minus_raw,delta_pred_bouts_total_smoothed_minus_raw
yolo_sppf_pose_relations_only_lstm512_seed43,pose_relations_only,lstm,512,43,0.6467458555802148,0.6465379946580682,0.7135387976495522,0.7134914008686819,1409.0,1412.0,-4.73967808702902e-05,-0.00020786092214664098,3.0
yolo_sppf_pose_relations_only_lstm512_seed44,pose_relations_only,lstm,512,44,0.6318598516154987,0.6316330942458842,0.705379821798109,0.7053324581125903,1469.0,1472.0,-4.7363685518719834e-05,-0.00022675736961452753,3.0
yolo_sppf_pose_relations_only_lstm896_seed42,pose_relations_only,lstm,896,42,0.642221989852862,0.6419896146204868,0.7169379079324169,0.7168908494172899,1467.0,1470.0,-4.7058515126985334e-05,-0.00023237523237529256,3.0
yolo_sppf_pose_relations_only_lstm896_seed43,pose_relations_only,lstm,896,43,0.6391537607609985,0.6389081069439161,0.7176913890127617,0.7176426552956838,1306.0,1309.0,-4.873371707792007e-05,-0.00024565381708241407,3.0
yolo_sppf_pose_relations_only_lstm896_seed44,pose_relations_only,lstm,896,44,0.6400660859877396,0.6398960179605286,0.7019965403762062,0.7019525988204587,1597.0,1600.0,-4.3941555747495364e-05,-0.0001700680272109789,3.0
yolo_sppf_visual_only_attention256_seed42,visual_only,attention,256,42,0.6078525128829259,0.6075701017757724,0.6899647949434862,0.6899188658189932,1528.0,1532.0,-4.5929124492971596e-05,-0.0002824111071534352,4.0
yolo_sppf_visual_only_attention256_seed43,visual_only,attention,256,43,0.5979620097945099,0.5977475095800096,0.6853839285791336,0.6853390990643026,1480.0,1483.0,-4.482951483097963e-05,-0.00021450021450031276,3.0
yolo_sppf_visual_only_attention256_seed44,visual_only,attention,256,44,0.5936342506895095,0.5934141057325224,0.6847603905368439,0.6847146393462121,1463.0,1466.0,-4.575119063177091e-05,-0.00022014495698707837,3.0
yolo_sppf_visual_only_attention512_seed42,visual_only,attention,512,42,0.5806708148271483,0.5803405322926046,0.6784582565183138,0.6784175326698464,1557.0,1559.0,-4.0723848467427715e-05,-0.00033028253454370216,2.0
yolo_sppf_visual_only_attention512_seed43,visual_only,attention,512,43,0.6034080211135323,0.603121261404662,0.688273596109508,0.6882265399796031,1434.0,1438.0,-4.7056129904854416e-05,-0.0002867597088702656,4.0
yolo_sppf_visual_only_attention512_seed44,visual_only,attention,512,44,0.6027146924811629,0.602494547524176,0.6747575164757933,0.6747115625317389,1491.0,1494.0,-4.595394405437769e-05,-0.00022014495698696734,3.0
yolo_sppf_visual_only_attention896_seed42,visual_only,attention,896,42,0.6033417502429174,0.6030744016304792,0.6896895150279159,0.6896436905846818,1524.0,1528.0,-4.5824443234088186e-05,-0.00026734861243815633,4.0
yolo_sppf_visual_only_attention896_seed43,visual_only,attention,896,43,0.5941657586256771,0.5939673459272645,0.6887834665385346,0.6887407674669797,1547.0,1550.0,-4.269907155496355e-05,-0.00019841269841258669,3.0
yolo_sppf_visual_only_attention896_seed44,visual_only,attention,896,44,0.6033314298315069,0.6031112848745198,0.6818329747394067,0.6817877928655308,1520.0,1523.0,-4.518187387592132e-05,-0.00022014495698707837,3.0
yolo_sppf_visual_only_lstm256_seed42,visual_only,lstm,256,42,0.5928063818844876,0.5925357303879001,0.6751801136897938,0.6751400259910907,1613.0,1615.0,-4.008769870311735e-05,-0.0002706514965875595,2.0
yolo_sppf_visual_only_lstm256_seed43,visual_only,lstm,256,43,0.5880353690862031,0.5878747110308084,0.6701321160006523,0.6700910648534562,1673.0,1676.0,-4.105114719610281e-05,-0.00016065805539478006,3.0
yolo_sppf_visual_only_lstm256_seed44,visual_only,lstm,256,44,0.5999194308205499,0.5997369554816928,0.6697688417077405,0.6697277656244073,1539.0,1543.0,-4.107608333325796e-05,-0.0001824753388570688,4.0
yolo_sppf_visual_only_lstm512_seed42,visual_only,lstm,512,42,0.5847592316444714,0.5845577852317053,0.672518275533584,0.6724767223091664,1492.0,1496.0,-4.155322441756759e-05,-0.0002014464127660931,4.0
yolo_sppf_visual_only_lstm512_seed43,visual_only,lstm,512,43,0.5829258276201728,0.5827340267618984,0.6663928245266867,0.6663492921086469,1560.0,1564.0,-4.353241803978225e-05,-0.0001918008582743047,4.0
yolo_sppf_visual_only_lstm512_seed44,visual_only,lstm,512,44,0.5756694129214027,0.5754790804898533,0.6659338963710272,0.6658918715079384,1527.0,1531.0,-4.2024863088796494e-05,-0.0001903324315494226,4.0
yolo_sppf_visual_only_lstm896_seed42,visual_only,lstm,896,42,0.5986249223247951,0.5984930866447867,0.678386061405753,0.6783464798334149,1600.0,1603.0,-3.9581572338076576e-05,-0.0001318356800084075,3.0
yolo_sppf_visual_only_lstm896_seed43,visual_only,lstm,896,43,0.5978228111489771,0.5975341957726297,0.6720552507636925,0.6720144087916021,1646.0,1648.0,-4.084197209042184e-05,-0.00028861537634738976,2.0
