stream,head,capacity,seed,class,threshold,tp,fp,fn,bout_precision,bout_recall,bout_f1
animal_visual_only,lstm,256,44,investigation,0.1,759.0,314.0,708.0,0.7073625349487418,0.5173824130879345,0.5976377952755906
animal_visual_only,lstm,256,44,investigation,0.25,622.0,451.0,845.0,0.5796831314072693,0.4239945466939332,0.4897637795275591
animal_visual_only,lstm,256,44,investigation,0.5,374.0,699.0,1093.0,0.34855545200372784,0.2549420586230402,0.2944881889763779
animal_visual_only,lstm,256,44,mount,0.1,158.0,65.0,50.0,0.7085201793721974,0.7596153846153846,0.7331786542923434
animal_visual_only,lstm,256,44,mount,0.25,154.0,69.0,54.0,0.6905829596412556,0.7403846153846154,0.7146171693735499
animal_visual_only,lstm,256,44,mount,0.5,138.0,85.0,70.0,0.6188340807174888,0.6634615384615384,0.6403712296983759
animal_visual_only,lstm,512,42,attack,0.1,203.0,144.0,153.0,0.5850144092219021,0.5702247191011236,0.5775248933143671
animal_visual_only,lstm,512,42,attack,0.25,173.0,174.0,183.0,0.49855907780979825,0.4859550561797753,0.492176386913229
animal_visual_only,lstm,512,42,attack,0.5,100.0,247.0,256.0,0.2881844380403458,0.2808988764044944,0.2844950213371266
animal_visual_only,lstm,512,42,investigation,0.1,741.0,343.0,726.0,0.683579335793358,0.5051124744376279,0.5809486475891807
animal_visual_only,lstm,512,42,investigation,0.25,606.0,478.0,861.0,0.559040590405904,0.4130879345603272,0.47510780086240695
animal_visual_only,lstm,512,42,investigation,0.5,359.0,725.0,1108.0,0.3311808118081181,0.2447171097477846,0.28145825166601335
animal_visual_only,lstm,512,42,mount,0.1,135.0,32.0,73.0,0.8083832335329342,0.6490384615384616,0.7200000000000002
animal_visual_only,lstm,512,42,mount,0.25,129.0,38.0,79.0,0.7724550898203593,0.6201923076923077,0.688
animal_visual_only,lstm,512,42,mount,0.5,104.0,63.0,104.0,0.6227544910179641,0.5,0.5546666666666666
animal_visual_only,lstm,512,43,attack,0.1,190.0,53.0,166.0,0.7818930041152263,0.5337078651685393,0.6343906510851418
animal_visual_only,lstm,512,43,attack,0.25,160.0,83.0,196.0,0.6584362139917695,0.449438202247191,0.5342237061769617
animal_visual_only,lstm,512,43,attack,0.5,101.0,142.0,255.0,0.4156378600823045,0.28370786516853935,0.337228714524207
animal_visual_only,lstm,512,43,investigation,0.1,743.0,256.0,724.0,0.7437437437437437,0.5064758009543285,0.6025952960259529
animal_visual_only,lstm,512,43,investigation,0.25,652.0,347.0,815.0,0.6526526526526526,0.4444444444444444,0.5287915652879156
animal_visual_only,lstm,512,43,investigation,0.5,405.0,594.0,1062.0,0.40540540540540543,0.27607361963190186,0.3284671532846716
animal_visual_only,lstm,512,43,mount,0.1,154.0,54.0,54.0,0.7403846153846154,0.7403846153846154,0.7403846153846154
animal_visual_only,lstm,512,43,mount,0.25,144.0,64.0,64.0,0.6923076923076923,0.6923076923076923,0.6923076923076923
animal_visual_only,lstm,512,43,mount,0.5,123.0,85.0,85.0,0.5913461538461539,0.5913461538461539,0.5913461538461539
animal_visual_only,lstm,512,44,attack,0.1,204.0,139.0,152.0,0.5947521865889213,0.5730337078651685,0.5836909871244635
animal_visual_only,lstm,512,44,attack,0.25,174.0,169.0,182.0,0.5072886297376094,0.4887640449438202,0.4978540772532189
animal_visual_only,lstm,512,44,attack,0.5,91.0,252.0,265.0,0.2653061224489796,0.2556179775280899,0.26037195994277545
animal_visual_only,lstm,512,44,investigation,0.1,742.0,457.0,725.0,0.6188490408673895,0.5057941376959781,0.5566391597899475
animal_visual_only,lstm,512,44,investigation,0.25,592.0,607.0,875.0,0.493744787322769,0.40354464894342196,0.4441110277569392
animal_visual_only,lstm,512,44,investigation,0.5,323.0,876.0,1144.0,0.2693911592994162,0.2201772324471711,0.24231057764441113
animal_visual_only,lstm,512,44,mount,0.1,165.0,75.0,43.0,0.6875,0.7932692307692307,0.7366071428571428
animal_visual_only,lstm,512,44,mount,0.25,158.0,82.0,50.0,0.6583333333333333,0.7596153846153846,0.7053571428571429
animal_visual_only,lstm,512,44,mount,0.5,141.0,99.0,67.0,0.5875,0.6778846153846154,0.6294642857142858
animal_visual_only,lstm,896,42,attack,0.1,207.0,128.0,149.0,0.6179104477611941,0.5814606741573034,0.5991316931982634
animal_visual_only,lstm,896,42,attack,0.25,169.0,166.0,187.0,0.5044776119402985,0.4747191011235955,0.48914616497829233
animal_visual_only,lstm,896,42,attack,0.5,93.0,242.0,263.0,0.27761194029850744,0.2612359550561798,0.2691751085383502
animal_visual_only,lstm,896,42,investigation,0.1,730.0,345.0,737.0,0.6790697674418604,0.49761417859577367,0.5743509047993705
animal_visual_only,lstm,896,42,investigation,0.25,604.0,471.0,863.0,0.5618604651162791,0.4117246080436264,0.4752163650668764
animal_visual_only,lstm,896,42,investigation,0.5,343.0,732.0,1124.0,0.31906976744186044,0.2338104976141786,0.2698662470495673
animal_visual_only,lstm,896,42,mount,0.1,172.0,110.0,36.0,0.6099290780141844,0.8269230769230769,0.7020408163265306
animal_visual_only,lstm,896,42,mount,0.25,169.0,113.0,39.0,0.599290780141844,0.8125,0.689795918367347
animal_visual_only,lstm,896,42,mount,0.5,153.0,129.0,55.0,0.5425531914893617,0.7355769230769231,0.6244897959183673
