source,run,window,track,seed,prediction_type,movie_id,gt_sequence_length,pred_sequence_length,sequence_length_ratio_pred_over_gt,n,ngram_tp,pred_ngram_total,gt_ngram_total,ngram_precision,ngram_recall,ngram_f1
length_matched_null,16-frame window length unigram,w16s8,16-frame window length unigram,0,raw,10,193,151,0.7823834196891192,3,119,149,191,0.7986577181208053,0.6230366492146597,0.7
length_matched_null,16-frame window length unigram,w16s8,16-frame window length unigram,0,raw,10,193,151,0.7823834196891192,4,101,148,190,0.6824324324324325,0.531578947368421,0.5976331360946745
length_matched_null,16-frame window length Markov,w16s8,16-frame window length Markov,0,raw,10,193,151,0.7823834196891192,1,151,151,193,1.0,0.7823834196891192,0.8779069767441859
length_matched_null,16-frame window length Markov,w16s8,16-frame window length Markov,0,raw,10,193,151,0.7823834196891192,2,150,150,192,1.0,0.78125,0.8771929824561403
length_matched_null,16-frame window length Markov,w16s8,16-frame window length Markov,0,raw,10,193,151,0.7823834196891192,3,142,149,191,0.9530201342281879,0.743455497382199,0.8352941176470589
length_matched_null,16-frame window length Markov,w16s8,16-frame window length Markov,0,raw,10,193,151,0.7823834196891192,4,121,148,190,0.8175675675675675,0.6368421052631579,0.7159763313609467
length_matched_null,8-frame window length unigram,w8s4,8-frame window length unigram,0,raw,10,193,240,1.2435233160621761,1,190,240,193,0.7916666666666666,0.9844559585492227,0.8775981524249423
length_matched_null,8-frame window length unigram,w8s4,8-frame window length unigram,0,raw,10,193,240,1.2435233160621761,2,173,239,192,0.7238493723849372,0.9010416666666666,0.802784222737819
length_matched_null,8-frame window length unigram,w8s4,8-frame window length unigram,0,raw,10,193,240,1.2435233160621761,3,149,238,191,0.6260504201680672,0.7801047120418848,0.6946386946386947
length_matched_null,8-frame window length unigram,w8s4,8-frame window length unigram,0,raw,10,193,240,1.2435233160621761,4,129,237,190,0.5443037974683544,0.6789473684210526,0.6042154566744732
length_matched_null,8-frame window length Markov,w8s4,8-frame window length Markov,0,raw,10,193,240,1.2435233160621761,1,183,240,193,0.7625,0.9481865284974094,0.8452655889145497
length_matched_null,8-frame window length Markov,w8s4,8-frame window length Markov,0,raw,10,193,240,1.2435233160621761,2,174,239,192,0.7280334728033473,0.90625,0.8074245939675173
